rank	term	df	tf	example
0	الأرضین	60	60	یا من وجهک کعبة المشتاقین و لقائک امل المخلصین و قربک رجآء المقرّبین و طلعتک صحیفة العارفین و اسمک روح المشتاقین و ندائک حیاة العاشقین و ما یخرج من شفتیک کوثر الحیوان لمن فی السّموات و الأرضین.
1	سواک	60	60	ای ربّ لم ار لک ناصراً دونک و لا معیناً سواک. اسألک بأن تجعلنی ثابتاً علی حبّک و ذکرک و هذا ما استطیع علیه و انّک تعلم ما فی نفسی و انّک انت العلیم الخبیر ای ربّ لا تحرمنی من بوارق انوار وجهک الّذی به استضآء الآفاق لا اله الّا انت المقتدر العزیز الغفّار
2	نموده‌اند	60	61	حال ملاحظه میشود شریعت الهی را سبب و علّت بغضا و عناد نموده‌اند.
3	بهذا	60	63	تشیر هذه الآیة إلى مدّعی علم الباطن الذین یحجبهم تمسّکهم بهذا العلم عن عرفان المظهر الإلهیّ
4	لهذا	61	61	ای رب اسألک باسمک الّذی جعلته مطلع امرک و مشرق الهامک بأن تقدّر لهذا المظلوم و احبّتک ما ینبغی لحضرتک.
5	آثار	61	62	و ما سواک عجزآء لدی ظهورات قدرتک و فقدآء لدی آثار غنائک و عدمآء عند ظهورات عزّ سلطنتک و ضعفآء عند شؤونات قدرتک.
6	ظل	61	63	اسألک یا مؤنس البهآء باسمک الأبهی بأن تحفظ هؤلآء فی ظلّ جناح رحمتک الکبری لئلّا یرد علیهم سهام الاشارات من اشقیآء خلقک الّذین کفروا بآیاتک.
7	میشود	61	63	حال ملاحظه میشود شریعت الهی را سبب و علّت بغضا و عناد نموده‌اند.
8	اقتدارک	62	62	یشهد کلّ ذی بصر بسلطنتک و اقتدارک و کلّ ذی نظر بعظمتک و اجتبارک.
9	عنایتک	62	62	شجّعتنی مواهبک و الطافک و ظهورات فضلک و عنایتک.
10	معارف	62	63	و چون این روایات مختلفه در سائر اوراق مذکور و بیانش سبب تطویل لهذا آنچه تعلّق بتاریخ این کیفیّت دارد در اوقات سیاحت در جمیع ممالک ایران از دور و نزدیک بمنتهای تدقیق از خارج و داخل و آشنا و بیگانه جستجو شده و متّفق علیه بیغرضان بوده باختصار مرقوم میگردد تا تشنگان سرچشمهٔ معارف را که طالب اطّلاع هر وقایع هستند مختصر معلوماتی از این قضیّه حاصل گردد.
