rank	term	df	tf	example
0	احوال	40	40	و در ایّام و لیالی در سجن مذکور در اعمال و احوال و حرکات حزب بابی تفکّر مینمودیم که مع علوّ و سموّ و ادراک آن حزب آیا چه شده که از ایشان چنین عملی ظاهر یعنى جسارت و حرکت آن حزب نسبت بذات شاهانه.
1	الأمم	40	40	إن الذین أوتوا بصائر من الله یَرَوْن حدود الله السبب الأعظم لنَظْم العالم وحفظ الأمم.
2	الاسم	40	40	اسألک بآیات عظمتک و ظهورات سلطنتک بأن تسخّر العباد بهذا الاسم الّذی جعلته مالک الأسمآء فی ملکوت الانشآء.
3	اما	40	40	و امّا العصمة الکبری لمن کان مقامه مقدّساً عن الأوامر و النّواهی و منزّهاً عن الخطآء و النّسیان.
4	امروز	40	40	یا شیخ امروز روز علوم و فنون ظاهره نبوده و نیست چه که ملاحظه شد نفسی که بیک کلمه از آن علوم آگاه نه بر کرسیّ عقیان در صدر مجلس عرفان مستوی و صاحب علوم و دارای فنون محروم.
5	انفسهم	40	40	ای ربّ فألهمهم عجز انفسهم تلقآء مظهر نفسک و علّمهم فقر ذواتهم لدی ظهورات غنائک و استغنائک لیجمعوا علی امرک و یتشبّثوا بذیل رحمتک و یتمسّکوا بحبل ارادتک.
6	ایادی	40	40	سبحانک یا الهی هذا عبدک الّذی شرب خمر رحمتک من ایادی فضلک و ذاق طعم حبّک فی ایّامک.
7	تالله	40	40	یا جلیل! وصّ العباد بتقوی الله. تالله! هو القائد الأوّل فی عساکر ربّک. و جنوده الأخلاق المرضیّة و الأعمال الطّیّبة. و بها فتحت فی الأعصار و القرون مدائن الأفئدة و القلوب و نصبت رایات النّصر و الظّفر علی اعلی الأعلام.
8	جاری	40	40	اشهد بأنّ امرک نافذ و حکمک جاری و مشیّتک ثابتة و ما اردت هو باقی.
9	فردانیتک	40	40	انّک انت الّذی لم تزل کنت مقتدراً بمشیّتک و مریداً بارادتک. لا یمنعک عن امرک من فی ارضک و سمائک. ای ربّ فارحمنی بجودک و کرمک ثمّ اسمعنی نغمات الطّیور الّتی یغرّدن بثنآء نفسک علی افنان سدرة فردانیّتک. و انّک انت المعطی الغفور الرّحیم
10	قرار	40	40	از قرار مذکور دولت ایران ایّدها الله هم اراده نموده‌اند بر عسکر بیفزایند.
11	نزلت	40	40	نزّلت صلاة تسع الرّکعات فی لوح منفصل توخّیاً للحکمة
12	ترقی	40	41	حکمت حکومت را شدّت سیاست دانست و مدار ترقّی سلطنت را تشدید و تضییق و تهدید و تخویف جمهور میشمرد.
13	سلطنتک	40	41	فأظهر فی الأرض سلطنتک و اقتدارک و علّم احبّتک ما ینبغی لهم فی ایّامک.
14	قلب	40	41	لمّا عرّفتنی هذا اسألک باسمک الّذی ما حمله الألواح و ما جری علی قلب احد و لسان نفس و لم یزل کان خفیّاً بخفآء ذاتک و متعالیاً بعلوّ نفسک بأن ترفع فی هذه السّنة اعلام نصرک و رایات انتصارک لیغنینّ کلّ بغنائک و یسترفعنّ بعلوّ سلطان رفعتک و یقومنّ علی امرک.
