rank	term	surprisal	idf	df	example
1	جل	2.7470	6.3226	52	در یکی از الواح از قلم مظلوم این کلمات جاری حقّ جلّ جلاله از برای ظهور جواهر معانی از معدن انسانی آمده یعنی مشارق امر و مخازن لآلی علم او چه که انّه تعالی غیب مکنون مستور عن الأنظار.
2	ظل	2.6796	6.1658	61	اسألک یا مؤنس البهآء باسمک الأبهی بأن تحفظ هؤلآء فی ظلّ جناح رحمتک الکبری لئلّا یرد علیهم سهام الاشارات من اشقیآء خلقک الّذین کفروا بآیاتک.
3	اذ	2.6238	6.1033	65	ثمّ اجعلنا من الّذین نصروک اذ کنت بین ایادی الأعدآء من طغاة خلقک و عصاة بریّتک.
4	لن	2.6154	6.0882	66	لن تضرّنا سیّئاتکم کما لا تنفعنا حسناتکم
5	تو	2.6037	6.2856	54	شهادت میدهم که تو بوصف ممکنات معروف نشوی و باذکار موجودات موصوف نگردی.
6	إن	2.5971	5.9362	77	إن الذین أوتوا بصائر من الله یَرَوْن حدود الله السبب الأعظم لنَظْم العالم وحفظ الأمم.
7	دو	2.5930	6.0163	71	عدل و انصاف دو حارسند از برای حفظ عباد.
8	لی	2.5647	5.9889	73	لک الحمد بما دللتنی الیک و هدیتنی الی افقک و اوضحت لی سبیلک و اظهرت لی دلیلک و جعلتنی مقبلاً الیک
9	أو	2.5640	5.9109	79	فصّلت رسالة سؤال وجواب الإعفاء من الصوم والصلاة لضعف بسبب المرض أو کبر السّنّ
10	بل	2.5168	5.7711	91	بل حزنی فی تأخیرک فیما قضیته فی الواح امرک و صحائف قضائک و تقدیرک.
11	مع	2.4971	5.7391	94	ذکر حضرة بهاءالله أنّ تقدیر العقوبة بما یتناسب مع جسامة الجریمة هی من الأمور التی یختصّ بها بیت العدل
12	یک	2.4638	5.7821	90	یک حرف از کتابت امّ البیان و یک کلمهٴ از آن موجد امکان.
13	عز	2.4551	5.5925	109	قوله عزّ وجلّ کنت کنزاً مخفیاً فأحببت أن أُعرف فخلقتُ الخلقّ لکی أُعرف
14	هل	2.4476	5.5308	116	هل من ذی بصر یا الهی لیراک بعینک و هل من ذی ظمأ یتوجّه الی کوثر حبّک.
15	له	2.4437	5.6201	106	لیس له شریک فی حکمه و لا معین فی سلطانه.
16	نه	2.4155	5.4727	123	هر چه هستی توئی مادونت لایق ذکر نه
17	هم	2.4034	5.4487	126	کأنّ فی قلوبهم اضآء سراج حبّک و مصباح ودّک. لا یقلّبهم البلایا عن امرک و لا القضایا عن رضائک. اسألک یا الهی بهم و بزفرات الّتی تخرج من قلوبهم فی فراقک ان تحفظهم من شرّ اعدائک و ترزقهم ما قدّرته لأولیائک الّذین لا خوف علیهم و لا هم یحزنون
18	لک	2.3533	5.3301	142	اشکر الله بما کشف لک ما کان مکنوناً مستوراً فی العلم.
19	قل	2.3039	5.1454	171	قل یا أیها الکذّاب
20	با	2.2797	5.2053	161	با تباه‌کاری و گناهکاری و عدم پرهیزکاری مقعد صدق میطلبیم و لقای ملیک مقتدر میجوئیم.
21	تا	2.2651	5.0459	189	و آگاهی بخش تا بر وحدانیّتت گواهی دهند و شناسائی ده تا بسویت بشتابند.
22	عزت	2.2620	6.2856	54	فی‌الحقیقه کنز حقیقی از برای انسان علم اوست و اوست علّت عزّت و نعمت و فرح و نشاط و بهجت و انبساط.
23	حق	2.2571	4.9946	199	انّه لو یحکم علی الیمین حکم الیسار او علی الجنوب حکم الشّمال حقّ لا ریب فیه.
24	لم	2.2474	4.9896	200	وإن لم یوجدوا ترجع حصصهم إلى الأعمام والأخوال والعمّات والخالات، وإن لم یوجدوا فإلى ذرّیّاتهم من البنین والبنات
25	أن	2.2063	4.9363	211	إذا أشرقت من أفق البیان شمس الأحکام لکلٍّ أن یتّبعوها ولو بأمر تنفطر عنه سموات أفئدة الأدیان
