term	idf	df	example
اراضی	7.7280	12	ثمّ اجعلهم یا الهی امطار سحاب فضلک و اریاح ربیع عنایتک لیخضرّ بهم اراضی قلوب خلقک و بریّتک و ینبت منها ما تفوح نفحاتها فی مملکتک لیجدنّ کلّ رایحة قمیص امرک.
اضطراب	7.7280	12	یا الهی و محبوبی انت تعلم ظمأ فراقی لا یسکن الّا بمآء وصالک و اضطراب قلبی لا یطمئنّ الّا بکوثر لقائک.
المخزون	7.7280	12	خذ یا الهی ید هذا المقبل الّذی اقبل الی وجهک ثمّ انقذه من غمرات الاوهام لیطلع من افق قلبه نور الایقان فی الایّام الّتی فیها اظلمت شمس عرفان خلقک عند اشراق شمس احدیّتک و خسف قمر العلم عند ظهور علمک المکنون و سرّک المصون و رمزک المخزون و سقطت انجم الاعمال عند ظهور نور فردانیّتک و تجلّی عزّ وحدانیّتک.
اکون	7.7280	12	و انا الّذی یا الهی اکون مقرّاً بوحدانیّتک و معترفاً بفردانیّتک و خاضعاً لدی ظهورات عظمتک و خاشعاً عند بوارق انوار عزّ احدیّتک.
برادر	7.7280	12	در اوّل ایّام کل در یک بیت ساکن بودیم و بعد آن بیت در خریمه بقیمت نازلی رفت و فرمانفرما و حسام‌السّلطنه این دو برادر خریدند و قسمت نمودند.
جوان	7.7280	12	معتمد خواست که در محضر خویش محفل اجتماع بیاراید تا حقیقت واقع جلوه نماید و قلوب بیاساید علمای اعلام و فضلای کرام حقارت شرع مبین را نخواستند و مباحثه و مجادله با جوان تاجری نپسندیدند مگر علّامهٔ فهّامه آقا محمّد مهدی و فاضل اشراقیّین میرزا حسن نوری.
دعوا	7.7280	12	دعوا الدّنیا و توجّهوا الی الأفق الأعلی.
قوهٴ	7.7280	12	مرکز قوّهٴ تنفیذیّه حکومت است و مرجع قوّهٔ تشریعیّه دانایان هوشمند حال اگر این رکن رکین و اساس متین جامع و کامل نباشد چگونه فلاح و نجاح از برای هیئت ملّت تصوّر گردد؟
مشیت	7.7280	12	حال قریب صد جلد آیات باهرات و کلمات محکمات از سماء مشیّت منزل آیات نازل و حاضر.
إلیه	7.8080	11	ولکن فی هذا الظهور الأعظم أعفینا دار السُّکنى ومتاع البیت، بقدر ما تدعو إلیه الحاجة منها
اعدا	7.8080	11	این ایّام از جمیع جهات اعدا ظاهر و نار بغضا مشتعل.
الاعظم	7.8080	11	و لا تمنعنی عن بحرک الاعظم الّذی کلّ قطرة منه تنادی و تقول طوبی لمن ایقظته نسمة اللّه الّتی مرّت من جهة فضله علی المقبلین من خلقه.
