unit_type	source_text	target_text	source_name	paragraph_id	sentence_id	rejection_reasons
paragraph	مجموعه ای از الواح جمال اقدس ابهی که بعد از کتاب اقدس نازل شده	revealed after the Kitáb i Aqdas	Ishraqat	1		Duplicate
paragraph		Glorified art Thou, O Lord my God! Every man of insight confeseth Thy sovereignty and Thy dominion, and every discerning eye perceiveth the greatnes of Thy majesty and the compeling power of Thy might. The winds of tests are powerles to hold back them that enjoy near aces to The from seting their faces towards the horizon of Thy glory, and the tempests of trials must fail to draw away and hinder such as are wholy devoted to Thy wil from aproaching Thy court.	Prayers-and-Meditations	4		EmptyField;LowArabicScriptCount
paragraph		Unto The be praise, O Lord my God! I entreat The, by Thy signs that have encompased the entire creation, and by the light of Thy countenance that hath iluminated al that are in heaven and on earth, and by Thy mercy that hath surpased al created things, and by Thy grace that hath sufused the whole universe, to rend asunder the veils that shut me out from The, that I may hasten unto the Fountainhead of Thy mighty inspiration, and to the Dayspring of Thy Revelation and bountiful favors, and may be imersed beneath the ocean of Thy nearnes and pleasure.	Prayers-and-Meditations	9		EmptyField;LowArabicScriptCount
paragraph		Glorified art Thou, O Lord my God! I besech The by Him Who is Thy Most Great Name, Who hath ben sorely aflicted by such of Thy creatures as have repudiated Thy truth, and Who hath ben hemed in by sorows which no tongue can describe, to grant that I may remember The and celebrate Thy praise, in these days when al have turned away from Thy beauty, have disputed with The, and turned away disdainfuly from Him Who is the Revealer of Thy Cause. None is there, O my Lord, to help The except Thine own Self, and no power to sucor The save Thine own power.	Prayers-and-Meditations	15		EmptyField;LowArabicScriptCount
paragraph		CI –	Prayers-and-Meditations	628		EmptyField;LowArabicScriptCount
paragraph		CV –	Prayers-and-Meditations	658		EmptyField;LowArabicScriptCount
paragraph	و الحمد لّه ربّ العالمین.	Praised be God, the Lord of the worlds.	Prayers-and-Meditations	676		Duplicate
paragraph		CXV –	Prayers-and-Meditations	736		EmptyField;LowArabicScriptCount
paragraph	و الحمد لّه ربّ العالمین!	Praised be God, the Lord of the worlds!	Prayers-and-Meditations	799		Duplicate
paragraph		CXV –	Prayers-and-Meditations	801		EmptyField;LowArabicScriptCount
paragraph		CXV –	Prayers-and-Meditations	854		EmptyField;LowArabicScriptCount
paragraph		CXLI –	Prayers-and-Meditations	887		EmptyField;LowArabicScriptCount
paragraph		CXLV–	Prayers-and-Meditations	908		EmptyField;LowArabicScriptCount
paragraph		CLI–	Prayers-and-Meditations	941		EmptyField;LowArabicScriptCount
paragraph		CLV–	Prayers-and-Meditations	963		EmptyField;LowArabicScriptCount
paragraph		CLXV–	Prayers-and-Meditations	1009		EmptyField;LowArabicScriptCount
paragraph		my Lord! Make Thy beauty to be my fod, and Thy presence my drink, and Thy pleasure my hope, and praise of The my action, and remembrance of The my companion, and the power of Thy sovereignty my sucorer, and Thy habitation my home, and my dweling place the seat Thou hast sanctified from the limitations imposed upon them who are shut out as by a veil from The.	Prayers-and-Meditations	1033		EmptyField;LowArabicScriptCount
paragraph		Glory be to The, O Lord my God! Abase not him whom Thou hast exalted through the power of Thine everlasting sovereignty, and remove not far from The him whom Thou hast caused to enter the tabernacle of Thine eternity. Wilt Thou cast away, O my God, him whom Thou hast overshadowed with Thy Lordship, and wilt Thou turn away from The, O my Desire, him to whom Thou hast ben a refuge? Canst Thou degrade him whom Thou hast uplifted, or forget him whom Thou didst enable to remember The?	Prayers-and-Meditations	1037		EmptyField;LowArabicScriptCount
paragraph		Thy name is my healing, O my God, and remembrance of The is my remedy. Nearnes to The is my hope, and love for The is my companion. Thy mercy to me is my healing and my sucor in both this world and the world to come. Thou, verily, art the Al Bountiful, the Al Knowing, the Al Wise.	Prayers-and-Meditations	1042		EmptyField;LowArabicScriptCount
paragraph		my God, my Master, the Goal of my desire! This, Thy servant, seketh to slep in the shelter of Thy mercy, and to repose beneath the canopy of Thy grace, imploring Thy care and Thy protection.	Prayers-and-Meditations	1045		EmptyField;LowArabicScriptCount
paragraph		How can I chose to slep, O God, my God, when the eyes of them that long for The are wakeful because of their separation from The; and how can I lie down to rest whilst the souls of Thy lovers are sore vexed in their remotenes from Thy presence?	Prayers-and-Meditations	1050		EmptyField;LowArabicScriptCount
paragraph		My God, my Adored One, my King, my Desire! What tongue can voice my thanks to The? I was hedles, Thou didst awaken me. I had turned back from The, Thou didst graciously aid me to turn towards The. I was as one dead, Thou didst quicken me with the water of life. I was withered, Thou didst revive me with the heavenly stream of Thine uterance which hath flowed forth from the Pen of the Al Merciful.	Prayers-and-Meditations	1055		EmptyField;LowArabicScriptCount
paragraph		God, my God! I beg of The by the ocean of Thy healing, and by the splendors of the Daystar of Thy grace, and by Thy Name through which Thou didst subdue Thy servants, and by the pervasive power of Thy most exalted Word and the potency of Thy most august Pen, and by Thy mercy that hath preceded the creation of al who are in heaven and on earth, to purge me with the waters of Thy bounty from every afliction and disorder, and from al weaknes and feblenes.	Prayers-and-Meditations	1059		EmptyField;LowArabicScriptCount
paragraph		I have risen this morning by Thy grace, O my God, and left my home trusting wholy in The, and comiting myself to Thy care. Send down, then, upon me, out of the heaven of Thy mercy, a blesing from Thy side, and enable me to return home in safety even as Thou didst enable me to set out under Thy protection with my thoughts fixed steadfastly upon The.	Prayers-and-Meditations	1064		EmptyField;LowArabicScriptCount
paragraph		Praise be unto The, Who art my God and the God of al men, and my Desire and the Desire of al them that have recognized The, and my Beloved and the Beloved of such as have acknowledged Thy unity, and the Object of my adoration and of the adoration of them that have near aces to The, and my Wish and the Wish of such as are wholy devoted to The, and my Hope and the Hope of them that have fixed their hearts upon The, and my Refuge and the Refuge of al such as have hastened towards The, and my Haven and the Haven of whosoever hath repaired unto The, and my Goal and the Goal of al them that have set themselves towards The, and my Object and the Object of those who have fixed their gaze upon The, and my Paradise and the Paradise of them that have ascended towards The, and my Lodestar and the Lodestar of al such as yearn after The, and my Joy and the Joy of al them that love The, and my Light and the Light of al such as have ered and asked to be forgiven by The, and my Exultation and the Exultation of al them that remember The, and my Stronghold and the Stronghold of al such as have fled to The, and my Sanctuary and the Sanctuary of al that dread The, and my Lord and the Lord of al such as dwel in the heavens and on the earth!	Prayers-and-Meditations	1068		EmptyField;LowArabicScriptCount
paragraph		I besech The, O my God, by Thy mighty Sign, and by the revelation of Thy grace amongst men, to cast me not away from the gate of the city of Thy presence, and to disapoint not the hopes I have set on the manifestations of Thy grace amidst Thy creatures. Thou sest me, O my God, holding to Thy Name, the Most Holy, the Most Luminous, the Most Mighty, the Most Great, the Most Exalted, the Most Glorious, and clinging to the hem of the robe to which have clung al in this world and in the world to come.	Prayers-and-Meditations	1119		EmptyField;LowArabicScriptCount
paragraph		Praised be Thou, O Lord my God! I suplicate The by Him Whom Thou hast caled into being, Whose Revelation Thou hast ordained to be Thine own Revelation and His Concealment Thine own Concealment. Through His Firstnes Thou hast confirmed Thine own Firstnes, and through His Lastnes Thou hast afirmed Thine own Lastnes. Through the power of His might and the influence of His sovereignty the mighty have aprehended Thine omnipotence, and through His glory they who are endowed with authority have acknowledged Thy majesty and greatnes. Through His supreme ascendancy Thy transcendent sovereignty and al encompasing dominion have ben recognized, and through His wil Thine own wil hath ben revealed. Through the light of His countenance the splendors of Thine own face have shone forth, and through His Cause Thine own Cause hath ben made manifest. Through the generative power of His uterance the whole earth hath ben made the recipient of the wondrous signs and tokens of Thy sovereignty, and the heavens have ben filed with the revelations of Thine incomparable majesty, and the seas have ben enriched with the sacred pearls of Thine omniscience and wisdom, and the tres adorned with the fruits of Thy knowledge. Through Him al things have sung Thy praise, and al the eyes have ben turned in the direction of Thy mercy. Through Him the faces of al have ben set towards the splendors of the light of Thy countenance, and the souls of al have ben inclined unto the revelations of Thy divine greatnes.	Prayers-and-Meditations	1135		EmptyField;LowArabicScriptCount
paragraph		Praised be Thou, O Lord my God! The tongues of al created things testify to Thy sovereignty and Thine omnipotence, and proclaim mine own poverty and my wretchednes when face to face with the revelations of Thy wealth. Lok, then, O my God, upon this siner whose gaze hath, at al times, ben fixed upon the source of Thy forgivenes, and whose eyes have ben bent upon the horizon of Thy grace and Thy gifts.	Prayers-and-Meditations	1149		EmptyField;LowArabicScriptCount
paragraph		The praise which hath dawned from Thy most august Self, and the glory which hath shone forth from Thy most efulgent Beauty, rest upon The, O Thou Who art the Manifestation of Grandeur, and the King of Eternity, and the Lord of al who are in heaven and on earth! I testify that through The the sovereignty of God and His dominion, and the majesty of God and His grandeur, were revealed, and the Daystars of ancient splendor have shed their radiance in the heaven of Thine irevocable decre, and the Beauty of the Unsen hath shone forth above the horizon of creation. I testify, moreover, that with but a movement of Thy Pen Thine injunction Be Thou hath ben enforced, and God's hiden Secret hath ben divulged, and al created things have ben caled into being, and al the Revelations have ben sent down.	Prayers-and-Meditations	1168		EmptyField;LowArabicScriptCount
paragraph	مجموعه ای از الواح جمال اقدس ابهی که بعد از کتاب اقدس نازل شده	revealed after the Kitáb i Aqdas	Suriy-i-Vafa	1		Duplicate
paragraph	مجموعه ای از الواح جمال اقدس ابهی که بعد از کتاب اقدس نازل شده	revealed after the Kitáb i Aqdas	Tajalliyat	1		Duplicate
paragraph	مجموعه ای از الواح جمال اقدس ابهی که بعد از کتاب اقدس نازل شده	revealed after the Kitáb i Aqdas	Tarazat	1		Duplicate
paragraph	یا ابن الرّوح!	O Son of Spirit!	The-Hidden-Words	12		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	20		Duplicate
paragraph	یا ابن الوجود!	O Son of Being!	The-Hidden-Words	28		Duplicate
paragraph	یا ابن الرّوح!	O Son of Spirit!	The-Hidden-Words	36		Duplicate
paragraph	یا ابن الوجود!	O Son of Being!	The-Hidden-Words	40		Duplicate
paragraph	یا ابن الوجود!	O Son of Being!	The-Hidden-Words	48		Duplicate
paragraph	یا ابن الوجود!	O Son of Being!	The-Hidden-Words	52		Duplicate
paragraph	یا ابن الرّوح!	O Son of Spirit!	The-Hidden-Words	56		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	60		Duplicate
paragraph	یا ابن البیان!	O Son of Uterance!	The-Hidden-Words	64		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	72		Duplicate
paragraph	یا ابن الرّوح!	O Son of Spirit!	The-Hidden-Words	76		Duplicate
paragraph	یا ابن الرّوح!	O Son of Spirit!	The-Hidden-Words	84		Duplicate
paragraph	یا ابن البشر!	O Son of Man!	The-Hidden-Words	88		Duplicate
paragraph	یا ابن الرّوح!	O Son of Spirit!	The-Hidden-Words	92		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	100		Duplicate
paragraph	یا ابن الرّوح!	O Son of Spirit!	The-Hidden-Words	104		Duplicate
paragraph	یا ابن الوجود!	O Son of Being!	The-Hidden-Words	108		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	112		Duplicate
paragraph	یا ابن الرّوح!	O Son of Spirit!	The-Hidden-Words	116		Duplicate
paragraph	یا ابن الوجود!	O Son of Being!	The-Hidden-Words	120		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	124		Duplicate
paragraph	یا ابن الوجود!	O Son of Being!	The-Hidden-Words	128		Duplicate
paragraph	یا ابن العمآء!	O Son of the Supreme!	The-Hidden-Words	132		Duplicate
paragraph	یا ابن الرّوح!	O Son of Spirit!	The-Hidden-Words	136		Duplicate
paragraph	یا ابن الرّوح!	O Son of Spirit!	The-Hidden-Words	140		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	144		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	148		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	152		Duplicate
paragraph	یا ابن الوجود!	O Son of Being!	The-Hidden-Words	156		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	160		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	164		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	168		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	172		Duplicate
paragraph	یا ابن الوجود!	O Son of Being!	The-Hidden-Words	176		Duplicate
paragraph	یا ابن الوجود!	O Son of Being!	The-Hidden-Words	184		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	188		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	192		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	196		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	200		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	204		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	208		Duplicate
paragraph	یا ابن البشر!	O Son of Man!	The-Hidden-Words	212		Duplicate
paragraph	یا ابن الوجود!	O Son of Being!	The-Hidden-Words	216		Duplicate
paragraph	یا ابن الوجود!	O Son of Being!	The-Hidden-Words	220		Duplicate
paragraph	یا ابن الوجود!	O Son of Being!	The-Hidden-Words	224		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	228		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	232		Duplicate
paragraph	یا ابن البشر!	O Son of Man!	The-Hidden-Words	236		Duplicate
paragraph	یا ابن الوجود!	O Son of Being!	The-Hidden-Words	240		Duplicate
paragraph	یا ابن الانسان!	O Son of Man!	The-Hidden-Words	248		Duplicate
